"siteid","sitename","lat","lon","is_zea_target","n_samples","n_baseline","n_test","n_taxa","bc_mean_baseline","bc_sd_baseline","threshold","has_signal","onset_age_bp","max_bc","max_bc_age","classification","pct_agricultural","pct_disturbance","pct_deciduous","pct_coniferous","pct_other","ambrosia_onset_bp","ambrosia_explosion_bp","ambrosia_precontact","ambrosia_postcontact","ambrosia_at_contact","ambrosia_phase2","ambrosia_phase2_age","max_ambrosia_pct","max_ambrosia_age","has_zea","zea_first_age_bp","zea_max_pct","zea_max_age_bp","zea_exceeds_baseline","zea_exceedance_age_bp","has_chenopod","chenopod_max_pct","recovery_signal","bc_precontact_mean","bc_postcontact_mean","bc_rerise_mean","has_rerise"
679,"Great Dismal Swamp",36.58333,-76.45,FALSE,26,20,6,73,0.3241,0.1136,0.5512,TRUE,2019,0.7274,1499,"H3_natural",0,5.6,33.6,5.4,55.4,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,1.36,10061,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
680,"Disterhaft Farm Bog",43.91694,-89.16694,FALSE,117,92,25,62,0.5068,0.0652,0.6371,FALSE,NA,0.5961,2826,"no_signal",0,2.6,21.4,42.3,33.6,2642,9321,TRUE,FALSE,TRUE,FALSE,NA,6.9,2642,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
702,"Dosquet",46.45,-71.5,FALSE,27,19,8,67,0.0078,0.007,0.0218,TRUE,755,0.0838,151,"H3_natural",0,3,8.7,5.2,83.1,755,453,FALSE,TRUE,TRUE,FALSE,NA,0.42,151,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
728,"Heart Lake",44.181964,-73.970216,FALSE,30,16,14,37,0.3714,0.0732,0.5178,FALSE,NA,0.3823,1975,"no_signal",0,5,35.7,42.4,16.9,117,117,FALSE,TRUE,FALSE,TRUE,0,3.28,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.2989,0.2876,0.3003,TRUE
745,"Upper Wallface Pond",44.147978,-74.056184,FALSE,19,15,4,38,0.3016,0.0932,0.4879,FALSE,NA,0.2995,1956,"no_signal",0,0.3,13.2,50.5,36,NA,12561,TRUE,FALSE,FALSE,FALSE,NA,3.93,12561,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
751,"Rockyhock Bay",36.16667,-76.68333,FALSE,36,30,6,94,0.4469,0.1096,0.6662,FALSE,NA,0.6141,0,"no_signal",0,3.1,6.5,20.5,69.8,0,0,FALSE,TRUE,FALSE,TRUE,0,7.96,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
753,"Duck Pond",41.93248,-70.00076,FALSE,44,34,10,46,0.2723,0.1284,0.5292,FALSE,NA,0.3788,250,"no_signal",0,10.6,21.3,26.3,41.8,427,310,FALSE,TRUE,TRUE,FALSE,NA,3.9,280,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
754,"Lac Dufresne",45.85,-70.35,FALSE,27,21,6,44,0.3037,0.0908,0.4852,FALSE,NA,0.3617,2716,"no_signal",0,4.5,30,29.3,36.2,0,0,FALSE,TRUE,FALSE,FALSE,NA,1.1,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,NA,NA,NA,NA,NA
757,"Eagle Lake Bog",44.16667,-71.66667,FALSE,25,20,5,59,0.2285,0.0745,0.3776,FALSE,NA,0.3608,0,"no_signal",0,1.3,28.3,20.2,50.2,200,0,FALSE,TRUE,FALSE,FALSE,NA,0.87,0,FALSE,NA,0,NA,FALSE,NA,FALSE,0,FALSE,0.2899,0.3517,NA,NA
766,"Edward Lake",44.37,-80.25,FALSE,81,60,21,58,0.4536,0.0694,0.5924,FALSE,NA,0.4593,2215,"no_signal",0,13.4,18.2,38,30.3,106,10778,TRUE,FALSE,FALSE,TRUE,0,14.1,79,FALSE,NA,0,NA,FALSE,NA,FALSE,0,TRUE,0.3637,0.3555,0.3642,TRUE
