"datasetid","sitename","lat","lon","n_samples","n_baseline","signal_onset_age","persistent","baseline_bc_mean","baseline_bc_sd","threshold","signal_onset_bc","n_exceed_after_onset","pct_exceed_after"
20012,"Donvold",68.13333,13.58333,48,5,4279,TRUE,0.2427,0.12,0.4827,0.7152,19,52.8
49616,"Eini peatland",56.85306,26.88722,87,13,6906.988,TRUE,0.2333,0.0459,0.3251,0.4835,41,56.2
49636,"Eipurs bog",57.24806,24.61667,51,14,6761.172,TRUE,0.2903,0.1012,0.4926,0.6614,36,97.3
4041,"Flaatevatn",NA,NA,27,12,3519,TRUE,0.1639,0.067,0.2978,0.3747,6,100
54024,"Flinkasjön",56.25444,13.24333,93,30,6523.5,TRUE,0.1236,0.0354,0.1943,0.2193,58,96.7
45710,"Flotatjønn",NA,NA,45,13,6524,TRUE,0.1,0.0248,0.1497,0.1724,23,74.2
4057,"Frengstadsetra",62.57327,10.12398,28,14,NA,FALSE,0.337,0.1169,0.5708,NA,0,0
4037,"Färskesjön",56.15907,15.86049,108,30,6683,TRUE,0.0939,0.0276,0.149,0.1689,75,100
53997,"Fårarps Mosse",55.48833,13.90889,86,14,1030.5,FALSE,0.306,0.1518,0.6097,0.6482,5,41.7
45639,"Gammelheimenvatnet",68.48221,17.75935,71,15,6171,TRUE,0.1968,0.0441,0.2851,0.2951,30,57.7
53991,"Gilltjärnen",60.08333,15.83333,88,29,6840.238,TRUE,0.0712,0.0228,0.1168,0.1586,52,89.7
22815,"Godziszewskie Lake",54.07823,18.53853,86,14,5510,TRUE,0.161,0.0655,0.2921,0.3241,47,72.3
977,"Grasvatn",NA,NA,33,10,6566,TRUE,0.1663,0.0452,0.2566,0.2688,16,72.7
45728,"Grauthelleren",58.14445,7.91361,58,23,5984,TRUE,0.0963,0.0429,0.1821,0.2054,26,86.7
45719,"Grostjørna",NA,NA,67,19,NA,FALSE,0.2119,0.0861,0.3841,NA,0,0
49430,"Groter Warder",54.17131,10.41846,43,11,2972.154,FALSE,0.3899,0.1076,0.6051,0.7049,12,44.4
