"sitename","datasetid","taxon","base_prop","post_prop","abs_diff","bc_contribution","direction","category","group"
"Abernethy Forest",3865,"Juniperus communis",0.0139591897637084,0,0.0139591897637084,0.00697959488185419,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Alnus glutinosa",0.000887231229685185,0.0104872607181237,0.00960002948843851,0.00480001474421926,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Cyperaceae",0.00754629564118785,0.0158228385053469,0.00827654286415903,0.00413827143207951,"increase","wetland","A_anthropogenic"
"Abernethy Forest",3865,"Nymphaea",0.00941716536207084,0.00279422957994387,0.00662293578212698,0.00331146789106349,"decrease","wetland","A_anthropogenic"
"Abernethy Forest",3865,"Calluna vulgaris",0.0152414999152597,0.0211714501043995,0.00592995018913987,0.00296497509456993,"increase","pastoral","A_anthropogenic"
"Abernethy Forest",3865,"Quercus",0.00919465369516602,0.0143314528545329,0.00513679915936684,0.00256839957968342,"increase","other_tree","A_anthropogenic"
"Abernethy Forest",3865,"cf. Bryophyta",0,0.00482680295286769,0.00482680295286769,0.00241340147643384,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Dryopteris filix-mas-type",0.000323034706137179,0.00287306158306534,0.00255002687692816,0.00127501343846408,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Pteridium aquilinum",0.00141356115128873,0.00344830781195341,0.00203474666066469,0.00101737333033234,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Populus tremula",0.00160637051242103,0,0.00160637051242103,0.000803185256210513,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Menyanthes trifoliata",7.73036487322202e-05,0.00152150933822093,0.00144420568948871,0.000722102844744354,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Filipendula",0.0016096247308767,0.00025025025025025,0.00135937448062645,0.000679687240313226,"decrease","wetland","A_anthropogenic"
"Abernethy Forest",3865,"Rumex acetosa-type",0.00114685831752977,0,0.00114685831752977,0.000573429158764887,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Potamogeton-type",0.000883587488340617,0,0.000883587488340617,0.000441793744170308,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Empetrum",0.00453341243894839,0.00370204479632389,0.000831367642624502,0.000415683821312251,"decrease","heath","A_anthropogenic"
"Abernethy Forest",3865,"Gymnocarpium dryopteris",0.000637127260921014,0,0.000637127260921014,0.000318563630460507,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Potentilla-type",0.000264703463208877,0.000844621835187873,0.000579918371978996,0.000289959185989498,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Ranunculus trichophyllus-type",0,0.00056785917092561,0.00056785917092561,0.000283929585462805,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Osmunda regalis",0.000324095192420145,0,0.000324095192420145,0.000162047596210072,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Urtica",0.00031852828754722,0,0.00031852828754722,0.00015926414377361,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Myriophyllum alterniflorum",0.000304139891642707,0,0.000304139891642707,0.000152069945821353,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Huperzia selago",0.00025082957747549,0,0.00025082957747549,0.000125414788737745,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Ericales",0,0.00025025025025025,0.00025025025025025,0.000125125125125125,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Rubiaceae",0.000246355582683662,0,0.000246355582683662,0.000123177791341831,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Polypodium",0.000244543475848754,0,0.000244543475848754,0.000122271737924377,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Rosaceae undiff.",0.000395577083183299,0.000602126135643585,0.000206549052460286,0.000103274526230143,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Apiaceae",8.70549316618787e-05,0.000292911540714704,0.000205856609052826,0.000102928304526413,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Sedum",0.000177244556130397,0,0.000177244556130397,8.86222780651984e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Tilia cordata",0.000164487211119335,0.000262054507337526,9.75672962181907e-05,4.87836481090954e-05,"increase","other","A_anthropogenic"
"Abernethy Forest",3865,"Solidago-type",9.48586605957124e-05,0,9.48586605957124e-05,4.74293302978562e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Myriophyllum spicatum/M. verticillatum",8.85112409275978e-05,0,8.85112409275978e-05,4.42556204637989e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Lycopodium undiff.",8.23858955346845e-05,0,8.23858955346845e-05,4.11929477673422e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Amaranthaceae",8.19604950413901e-05,0,8.19604950413901e-05,4.0980247520695e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Fraxinus excelsior",8.15394651011089e-05,0,8.15394651011089e-05,4.07697325505545e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Selaginella selaginoides",8.00320128051221e-05,0,8.00320128051221e-05,4.0016006402561e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Vicia/Lathyrus",8.00320128051221e-05,0,8.00320128051221e-05,4.0016006402561e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Plantago major/P. media",7.81921964187974e-05,0,7.81921964187974e-05,3.90960982093987e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Hedera helix",7.73036487322202e-05,0,7.73036487322202e-05,3.86518243661101e-05,"decrease","other","A_anthropogenic"
"Abernethy Forest",3865,"Ulmus",0.00958858777906341,0.009626435710752,3.7847931688588e-05,1.8923965844294e-05,"increase","climate_sensitive_tree","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Sphagnum",0.118436199916152,0.279605832672442,0.16116963275629,0.0805848163781451,"increase","wetland","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Pinus sylvestris",0.266573770667506,0.201228789878765,0.065344980788741,0.0326724903943705,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Betula",0.139064646745695,0.113136277172655,0.0259283695730391,0.0129641847865196,"decrease","climate_sensitive_tree","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Corylus/Myrica",0.109124229499252,0.0869494605643048,0.0221747689349475,0.0110873844674737,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Calluna vulgaris",0.107074059587799,0.0852906424536848,0.0217834171341144,0.0108917085670572,"decrease","pastoral","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Empetrum",0.0190750631274845,0.00120605722949337,0.0178690058979911,0.00893450294899556,"decrease","heath","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Poaceae",0.0460481264431665,0.0282464727551959,0.0178016536879706,0.00890082684398529,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Tilletia sphagni",0.00156363156808244,0.0171851214118191,0.0156214898437367,0.00781074492186834,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Alnus glutinosa",0.00447361584335121,0.0174404655916317,0.0129668497482805,0.00648342487414025,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Salix",0.00934270784530143,0.0012568182454641,0.00808588959983734,0.00404294479991867,"decrease","other_tree","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Melampyrum",0.0076644119386472,0.0154814809253983,0.00781706898675111,0.00390853449337556,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Potentilla-type",0.0238956653231363,0.018846475520451,0.0050491898026853,0.00252459490134265,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Quercus",0.00888355129508262,0.0130842663887582,0.0042007150936756,0.0021003575468378,"increase","other_tree","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Ulmus",0.0148350389821537,0.0116003343879338,0.00323470459421991,0.00161735229710996,"decrease","climate_sensitive_tree","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Cyperaceae",0.0165025014068763,0.0137035097833525,0.00279899162352384,0.00139949581176192,"decrease","wetland","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Ericales",0.00567450727457534,0.00288472215838535,0.00278978511618999,0.001394892558095,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Filipendula",0.00194857084375964,0,0.00194857084375964,0.00097428542187982,"decrease","wetland","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Succisa pratensis",0.00238206964867697,0.000470366886171214,0.00191170276250576,0.000955851381252878,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Pteridium",0.00335219400332863,0.00212589212030521,0.00122630188302342,0.000613150941511708,"decrease","pastoral","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Rumex acetosa-type",0.0016863829064786,0.000682410634498845,0.00100397227197976,0.000501986135989878,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Sparganium-type",0,0.000998495107620515,0.000998495107620515,0.000499247553810257,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Ranunculus acris-type",0.00233437924825485,0.00158797272561844,0.00074640652263641,0.000373203261318205,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Dryopteris-type",0.0288619872016572,0.0282745047454129,0.000587482456244289,0.000293741228122145,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Polypodiophyta undiff.",0.0288619872016572,0.0282745047454129,0.000587482456244289,0.000293741228122145,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Pteridophyta (monolete) undiff.",0.0288619872016572,0.0282745047454129,0.000587482456244289,0.000293741228122145,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Juniperus communis",0.00107966918691429,0.000551267916207277,0.00052840127070701,0.000264200635353505,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Hedera helix",0.000387596899224806,0,0.000387596899224806,0.000193798449612403,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Lycopodium annotinum",0.000297619047619048,0,0.000297619047619048,0.000148809523809524,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Apiaceae undiff.",0,0.000275633958103638,0.000275633958103638,0.000137816979051819,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Vicia-type",0.000243664717348928,0,0.000243664717348928,0.000121832358674464,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Sorbus",0.000387596899224806,0.000235183443085607,0.000152413456139199,7.62067280695997e-05,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Menyanthes trifoliata",0.000487329434697856,0.000551267916207277,6.3938481509421e-05,3.19692407547105e-05,"increase","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Rosaceae undiff.",0.000595238095238095,0.000551267916207277,4.39701790308184e-05,2.19850895154092e-05,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Artemisia",0,0,0,0,"decrease","arable","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Campanula-type",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Plantago lanceolata",0,0,0,0,"decrease","pastoral","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Huperzia selago",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Urtica",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Lycopodium clavatum",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Rubiaceae",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Fraxinus excelsior",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Brassicaceae",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Polypodium",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Diphasiastrum alpinum",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Tilia cordata",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Drosera",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Caltha-type",0,0,0,0,"decrease","other","A_anthropogenic"
"Allt na Feithe Sheilich",3879,"Valeriana officinalis",0,0,0,0,"decrease","other","A_anthropogenic"
"Ballynahatty bog",45223,"Polypodiophyta",0.252432398091915,0.0252065507690545,0.22722584732286,0.11361292366143,"decrease","other","A_anthropogenic"
"Ballynahatty bog",45223,"Corylus",0.485672217498321,0.369224931720946,0.116447285777374,0.0582236428886871,"decrease","climate_sensitive_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Alnus",0.0055919370358618,0.106322745010565,0.100730807974704,0.0503654039873518,"increase","other_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Sphagnum",0.00173373591050444,0.0999562287749554,0.098222492864451,0.0491112464322255,"increase","wetland","A_anthropogenic"
"Ballynahatty bog",45223,"Cyperaceae",0.0381267864475804,0.129522898992667,0.0913961125450863,0.0456980562725432,"increase","wetland","A_anthropogenic"
"Ballynahatty bog",45223,"Poaceae undiff.",0.0392514227429341,0.103712763216953,0.0644613404740191,0.0322306702370095,"increase","pastoral","A_anthropogenic"
"Ballynahatty bog",45223,"Betula",0.0701132507709669,0.0220483842094724,0.0480648665614945,0.0240324332807472,"decrease","climate_sensitive_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Quercus",0.0429780917967069,0.0659442985476852,0.0229662067509783,0.0114831033754892,"increase","other_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Plantago lanceolata",0.000295700973492672,0.020346726249184,0.0200510252756913,0.0100255126378457,"increase","pastoral","A_anthropogenic"
"Ballynahatty bog",45223,"Polypodium",0.015779759884876,0.00296362308491122,0.0128161367999648,0.00640806839998239,"decrease","other","A_anthropogenic"
"Ballynahatty bog",45223,"Pinus",0.00998569649701258,0.00427270044111806,0.00571299605589452,0.00285649802794726,"decrease","climate_sensitive_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Ulmus",0.0310615418583096,0.0265679854865932,0.00449355637171635,0.00224677818585818,"decrease","climate_sensitive_tree","A_anthropogenic"
"Ballynahatty bog",45223,"Ranunculaceae",0,0.00379781749018263,0.00379781749018263,0.00189890874509131,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Equisetum",0.000133408281165997,0.00216189175881502,0.00202848347764902,0.00101424173882451,"increase","other","A_anthropogenic"
"Ballynahatty bog",45223,"Salix",0.00425871611575433,0.00250447315357303,0.00175424296218129,0.000877121481090646,"decrease","other_tree","A_anthropogenic"
