"datasetid","sitename","lat","lon","lag","region","total_bc"
4510,"Vasikkasuo",64.67355,27.8601,-4169,"Scandinavia",0.4242
55045,"Vaskna",57.71167,27.07833,-2208,"Scandinavia",0.6067
48928,"Vedruka",58.33007,22.06158,-1674,"Scandinavia",0.3847
55053,"Velise",58.75667,24.46028,-2493,"Scandinavia",0.6047
20050,"Vestre Øykjamyrtjørn",59.81667,6,-713,"Scandinavia",0.3083
45385,"Viitna Linajärv",59.45139,26.01389,-1932,"Scandinavia",0.186
45387,"Viitna Linajärv",59.45139,26.01389,-987,"Scandinavia",0.22
55815,"Viitna Pikkjärv",59.44639,26.01056,-1638,"Scandinavia",0.1947
46514,"Vishnevskoe Lake",60.50222,29.51694,-927,"Scandinavia",0.2784
45312,"Vuolep Allasasjaure",68.16667,18.16667,-3124,"Scandinavia",0.2809
45311,"Vuoskkujávri",68.34556,19.1,-826,"Scandinavia",0.3027
45389,"Väike Juusa",58.05917,26.51722,701,"Scandinavia",0.4202
45395,"Vällamäe",57.73722,27.06917,-4004,"Scandinavia",0.4278
53964,"Västragylet",56.35,14.88333,-75,"Scandinavia",0.1558
4523,"Vôhma Mire",58.5205,25.42171,-3200,"Scandinavia",0.2854
4539,"Ylimysneva",62.13333,22.86667,-2842,"Scandinavia",0.6324
22845,"Zarnowiec Peat Bog",54.72321,18.10602,771,"Scandinavia",0.2588
62021,"Ähijärv",57.71139,26.49778,-5796,"Scandinavia",0.3797
45704,"Øygardstjønn",NA,NA,-5120,"Scandinavia",0.233
45400,"Ümarjärv",59.17528,27.46167,-1909,"Scandinavia",0.3048
342,"Selle di Carnino",44.15,7.69444,-2840,"Central Europe",0.264184414572994
3869,"Plan du Laus",44.24167,6.70222,-4918,"Central Europe",0.247927615120856
3871,"Hières sur Amby",45.79083,5.28333,-7073,"Central Europe",0.612358543285237
3872,"Ampoix",45.63333,2.93333,-3015,"Central Europe",0.655749813287344
3875,"Amsoldingersee",46.725,7.575,-1634,"Central Europe",0.653213578855869
3887,"Aronde",49.4625,2.69111,-969,"Central Europe",0.391229176546477
3892,"Altenweiher",48.01333,6.99444,-2542,"Central Europe",0.630259215373283
3893,"Atxuri",43.25028,-1.55111,-5660,"Central Europe",0.313719531524474
3894,"Auneau",48.45611,1.79361,-4489,"Central Europe",0.327799818526881
3900,"Basse-Ville",47.18611,-1.85806,-5130,"Central Europe",0.512370705855321
3910,"Puerto de Belate",43.03333,-2.05,-1622,"Central Europe",0.299673375584868
3911,"Puerto de Belate",43.03333,-2.05,-589,"Central Europe",0.310190945517201
3935,"Bláto",49.04174,15.19097,-6935,"Central Europe",0.241601020864114
3938,"Bledowo Lake",52.54316,20.67577,-6489,"Central Europe",0.199243673078819
3946,"Boehnigsee Goldmoos",46.25917,7.84306,-5530,"Central Europe",0.298290622198119
3951,"Saint Michel de Braspart",48.41667,-3.66667,-1323,"Central Europe",0.435451116095871
3972,"La Caudelais",47.25444,-1.80028,-762,"Central Europe",0.380894971214258
3977,"Lac de Chambedaze",45.44444,2.87528,-1934,"Central Europe",0.628979542682137
3979,"Bois de la Masse",45.50139,2.74472,-6488,"Central Europe",0.646578905751311
