"sitename","datasetid","climate_tree","other","pastoral_arable","succession_tree","wetland","total_bc","pastoral_arable_pct","climate_tree_pct","succession_tree_pct","wetland_pct","other_pct","classification","signal_onset_age","lat","lon"
"Cookley",52101,0.185618831080934,0.0672577064962263,0.00549080475793211,0.37153980296876,0.138284020767471,0.768191166071324,0.714770619664,24.1631040916839,48.3655396441078,18.0012511045502,8.75533453999413,"H3_natural",6728.068,52.41583,-2.24083
"Cornaher Lough",14512,0.124649617506876,0.365758376220166,0.00581808471511872,0.0645479925354702,0.0953054437377442,0.656079514715375,0.886795667998072,18.999163167128,9.83844047675727,14.5265080832603,55.7490926048563,"H1_anthropogenic",1456,NA,NA
"Cranes Moor",41222,0.00944250480438428,0.213412566403027,0.00813420930480298,0.0331744125470387,0.000167597876123945,0.264331290935377,3.07727824277588,3.57222361793434,12.5503160937345,0.0634044783464242,80.7367775672089,"H3_natural",6906,50.82778,-1.72583
"Dallican Water",4012,0.0847482454714218,0.2772495271702,0.0188700070460225,0.0179720470846396,0.0148550183255144,0.413694845097798,4.56133482677591,20.4856904734665,4.34427629389267,3.59081542870147,67.0178829771634,"H1_anthropogenic",5366,60.38736,-1.09648
"Gallanech Beg",41189,0.157259774902582,0.0701002592685321,0.00113154954427817,0.0869465706804366,0.0310852230254806,0.34652337742131,0.326543494034578,45.3821546104184,25.0911125614262,8.97059911420828,20.2295902199126,"H1_anthropogenic",6816,56.38444,-5.50139
"Hawks Tor",4086,0.0559252043778823,0.231254857086673,0.0297290992205081,0.0282129256746599,0.240231455616635,0.585353541976359,5.07882793706727,9.55409002720974,4.81980950852423,41.0404035150329,39.5068690121659,"H3_natural",6294,NA,NA
"Hockham Mere",4095,0.0056969885311492,0.2730249707487,0.00492037433458557,0.0557721541353342,0.000325840035167427,0.339740327784936,1.44827503012839,1.67686555443472,16.4161124170809,0.0959085538334122,80.3628384445226,"H1_anthropogenic",6926,52.5,0.83333
"Kelly's Lough",14110,0.0772411255235028,0.0925487255969394,0.00574840200291704,0.0744924145373323,0.0231472448800719,0.273177912540763,2.10427041829718,28.2750258998253,27.2688277922969,8.47332226269131,33.8785536268893,"H1_anthropogenic",6347,NA,NA
"King's Pool",4150,0.239286826019873,0.144222384595998,0.0459946769151258,0.0897246545404763,0.0469918703362428,0.566220412407716,8.12310469690495,42.2603673015537,15.8462416003238,8.29921869761304,25.4710677036046,"H1_anthropogenic",4570,NA,NA
"Lackan Bog",4174,0.108774863199554,0.0392467940596992,0.0203957792485778,0.146885128705601,0.21069682362284,0.525999388836272,3.87752907730591,20.6796558148497,27.9249618579542,40.0564768884976,7.4613763613926,"H3_natural",5396,54.26583,-6.10082
"Le Loch Sunart",41411,0.113944884072043,0.0697953916771482,0.00329493956591865,0.0339344258708707,0.023673427686231,0.244643068872212,1.34683544525014,46.5759706977686,13.8709941905594,9.67672119033,28.5294784760918,"H1_anthropogenic",5295,56.66667,-5.86667
"Llyn Cororion",44896,0.124039473111657,0.276269233157336,0.127369026149865,0.0702260038221323,0.0301858026228408,0.628089538863831,20.2788007551067,19.7486927319368,11.1808905381813,4.80597124375687,43.9856447310184,"H1_anthropogenic",1176,NA,NA
"Loch a'Phuinnd",43525,0.161448871864355,0.317470665735198,0.00971225961241591,0.00679537091065126,0.0119856397827613,0.507412807905382,1.91407458800823,31.8180521557628,1.3392194293839,2.3621082471762,62.5665455796689,"H1_anthropogenic",4055,NA,NA
"Loch Ashik",22723,0.00587417110015819,0.125057903424222,0.0142743845362032,0.0137787931285696,0.0357594624754223,0.194744714664575,7.32979303740753,3.01634429990861,7.07531044028689,18.3622248937609,64.2163273286361,"H3_natural",6648,57.25,-5.83333
"Loch Cleat",22709,0.0306474178312212,0.181686148909508,0.0135092214554008,0.0270560528488211,0.0382506592037035,0.291149500248655,4.63996037907098,10.5263508283706,9.29283849902336,13.13780692429,62.4030433692451,"H1_anthropogenic",5563,57.6225,-6.27778
"Loch Craggie",4000,0.141910400586142,0.189660298992384,0.0975941830210576,0.059921176214607,0.0355879205732414,0.524673979387432,18.6009192098683,27.0473486700876,11.4206495021091,6.78286363939584,36.1482189785391,"H3_natural",7000,58.00751,-4.83956
"Loch Dee Peninsula Bog II",58082,0.100498846089922,0.203620225992463,0.122219248251364,0.0507812654845357,0.136823740193335,0.613943326011619,19.9072525220433,16.3694011860664,8.27132787881705,22.2860538418403,33.1659645712329,"H1_anthropogenic",629,55.08222,-4.39833
"Loch Dungeon",4190,0.0258660572340399,0.103360646842461,0.0639476958195062,0.0303442996144219,0.0800371486617468,0.303555848172176,21.0662045236682,8.52102088949668,9.99628233062758,26.3665316098111,34.0499606463965,"H1_anthropogenic",3978,55.13475,-4.30761
"Loch Lomond Ross Dubh",4209,0.0281316961731343,0.41277388193181,0.0139297949237122,0.0431323220939876,0.00855262099177829,0.506520316114422,2.75009599428692,5.55391270165348,8.51541798458564,1.68850502530411,81.4920682941699,"H3_natural",6359,NA,NA
"Loch Maree",4251,0.00653749682436087,0.328539764280837,0.0654252742834572,0.0119945491045744,0.0133079618624198,0.42580504635565,15.3650772444842,1.53532629082571,2.81691098009113,3.12536499421956,77.1573204903794,"H3_natural",3437,NA,NA
"Loch Meodal",22741,0.00304664878946677,0.314127417762737,0.00553623435132287,0.0140740038454759,0.00835972889900376,0.345144033648006,1.6040359419827,0.882718080699573,4.07771900233084,2.42209862666477,91.0134283483221,"H1_anthropogenic",6939,NA,NA
"Loch Sionascaig",4421,0.0942339633546312,0.208573914348831,0.0516295065697765,0.0374415765755205,0.0441605249901767,0.436039485838936,11.8405576207031,21.6113371414807,8.58673991496052,10.1276435791617,47.833721743694,"H1_anthropogenic",4070,NA,NA
